Last UpdatedDescending,threads,Reading Raw,Last Updated Epoch,CurrentNumServiceThreads,CurrentNumVMThreads,Integration Server,MaxMemory,Max Service Thread,RequestsPerMinuteCurrent,UsedMemory 
5/23/2022 5:40:00.000 PM,6,6.0,1653298800000,,,,,,, 
5/23/2022 5:39:14.105 PM,,,1653298754105,6,"1,623","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,139,399","10,388,516" 
5/23/2022 5:35:00.000 PM,43,43.0,1653298500000,,,,,,, 
5/23/2022 5:34:14.075 PM,,,1653298454075,43,"1,638","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,394,753","7,787,919" 
5/23/2022 5:30:00.000 PM,5,5.0,1653298200000,,,,,,, 
5/23/2022 5:29:14.089 PM,,,1653298154089,5,"1,642","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,668,962","11,049,679" 
5/23/2022 5:25:00.000 PM,1,1.0,1653297900000,,,,,,, 
5/23/2022 5:24:14.104 PM,,,1653297854104,1,"1,658","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,858,841","11,967,419" 
5/23/2022 5:20:00.000 PM,12,12.0,1653297600000,,,,,,, 
5/23/2022 5:19:14.070 PM,,,1653297554070,12,"1,666","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,623,964","9,388,089" 
5/23/2022 5:15:00.000 PM,21,21.0,1653297300000,,,,,,, 
5/23/2022 5:14:14.077 PM,,,1653297254077,21,"1,680","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,785,741","9,243,549" 
5/23/2022 5:10:00.000 PM,39,39.0,1653297000000,,,,,,, 
5/23/2022 5:09:14.107 PM,,,1653296954107,39,"1,683","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,741,363","8,208,598" 
5/23/2022 5:05:00.000 PM,25,25.0,1653296700000,,,,,,, 
5/23/2022 5:04:14.075 PM,,,1653296654075,25,"1,706","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,658,632","12,674,078" 
5/23/2022 5:00:00.000 PM,24,24.0,1653296400000,,,,,,, 
5/23/2022 4:59:14.090 PM,,,1653296354090,24,"1,708","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,078,037","6,859,776" 
5/23/2022 4:55:00.000 PM,65,65.0,1653296100000,,,,,,, 
5/23/2022 4:54:14.089 PM,,,1653296054089,65,"1,724","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,557,094","11,167,085" 
5/23/2022 4:50:00.000 PM,4,4.0,1653295800000,,,,,,, 
5/23/2022 4:49:14.063 PM,,,1653295754063,4,"1,739","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,691,517","8,313,963" 
5/23/2022 4:45:00.000 PM,9,9.0,1653295500000,,,,,,, 
5/23/2022 4:44:14.078 PM,,,1653295454078,9,"1,748","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,940,455","9,005,558" 
5/23/2022 4:40:00.000 PM,57,57.0,1653295200000,,,,,,, 
5/23/2022 4:39:14.072 PM,,,1653295154072,57,"1,762","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,847,000","11,608,559" 
5/23/2022 4:35:00.000 PM,46,46.0,1653294900000,,,,,,, 
5/23/2022 4:34:14.083 PM,,,1653294854083,46,"1,774","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,896,933","10,146,769" 
5/23/2022 4:30:00.000 PM,9,9.0,1653294600000,,,,,,, 
5/23/2022 4:29:14.097 PM,,,1653294554097,9,"1,780","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,696,097","8,481,863" 
5/23/2022 4:25:00.000 PM,21,21.0,1653294300000,,,,,,, 
5/23/2022 4:24:14.064 PM,,,1653294254064,21,"1,794","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,991,109","7,858,956" 
5/23/2022 4:20:00.000 PM,26,26.0,1653294000000,,,,,,, 
5/23/2022 4:19:14.111 PM,,,1653293954111,26,"1,810","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,906,705","13,031,731" 
5/23/2022 4:15:00.000 PM,51,51.0,1653293700000,,,,,,, 
5/23/2022 4:14:14.088 PM,,,1653293654088,51,"1,817","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,959,327","11,214,650" 
5/23/2022 4:10:00.000 PM,7,7.0,1653293400000,,,,,,, 
5/23/2022 4:09:14.120 PM,,,1653293354120,7,"1,832","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,316,925","8,509,030" 
5/23/2022 4:05:00.000 PM,27,27.0,1653293100000,,,,,,, 
5/23/2022 4:04:14.137 PM,,,1653293054137,27,"1,838","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,595,398","6,286,451" 
5/23/2022 4:00:00.000 PM,18,18.0,1653292800000,,,,,,, 
5/23/2022 3:59:14.072 PM,,,1653292754072,18,"1,872","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,623,797","8,641,828" 
5/23/2022 3:55:00.000 PM,24,24.0,1653292500000,,,,,,, 
5/23/2022 3:54:14.067 PM,,,1653292454067,24,"1,870","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,556,511","12,202,606" 
5/23/2022 3:50:00.000 PM,56,56.0,1653292200000,,,,,,, 
5/23/2022 3:49:14.142 PM,,,1653292154142,56,"1,872","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,985,726","6,048,889" 
5/23/2022 3:45:00.000 PM,49,49.0,1653291900000,,,,,,, 
5/23/2022 3:44:14.060 PM,,,1653291854060,49,"1,872","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,483,322","11,391,422" 
5/23/2022 3:40:00.000 PM,34,34.0,1653291600000,,,,,,, 
5/23/2022 3:39:14.184 PM,,,1653291554184,34,"1,875","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,806,213","6,836,763" 
5/23/2022 3:35:00.000 PM,105,105.0,1653291300000,,,,,,, 
5/23/2022 3:34:14.093 PM,,,1653291254093,105,"1,872","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,318,233","7,302,606" 
5/23/2022 3:30:00.000 PM,4,4.0,1653291000000,,,,,,, 
5/23/2022 3:29:14.068 PM,,,1653290954068,4,"1,872","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,182,231","7,374,966" 
5/23/2022 3:25:00.000 PM,26,26.0,1653290700000,,,,,,, 
5/23/2022 3:24:14.081 PM,,,1653290654081,26,"1,871","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"4,171,376","6,591,945" 
5/23/2022 3:20:00.000 PM,25,25.0,1653290400000,,,,,,, 
5/23/2022 3:19:14.079 PM,,,1653290354079,25,"1,874","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,312,915","9,678,714" 
5/23/2022 3:15:00.000 PM,1,1.0,1653290100000,,,,,,, 
5/23/2022 3:14:14.105 PM,,,1653290054105,1,"1,873","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,130,820","9,573,413" 
5/23/2022 3:10:00.000 PM,17,17.0,1653289800000,,,,,,, 
5/23/2022 3:09:14.156 PM,,,1653289754156,17,"1,874","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,618,133","6,217,373" 
5/23/2022 3:05:00.000 PM,36,36.0,1653289500000,,,,,,, 
5/23/2022 3:04:14.057 PM,,,1653289454057,36,"1,876","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,433,939","8,301,312" 
5/23/2022 3:00:00.000 PM,57,57.0,1653289200000,,,,,,, 
5/23/2022 2:59:14.090 PM,,,1653289154090,57,"1,585","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,692,406","6,273,482" 
5/23/2022 2:55:00.000 PM,38,38.0,1653288900000,,,,,,, 
5/23/2022 2:54:14.073 PM,,,1653288854073,38,"1,602","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,764,431","12,278,206" 
5/23/2022 2:50:00.000 PM,9,9.0,1653288600000,,,,,,, 
5/23/2022 2:49:14.084 PM,,,1653288554084,9,"1,617","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,913,122","8,865,102" 
5/23/2022 2:45:00.000 PM,1,1.0,1653288300000,,,,,,, 
5/23/2022 2:44:14.113 PM,,,1653288254113,1,"1,620","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,182,234","12,963,934" 
5/23/2022 2:40:00.000 PM,47,47.0,1653288000000,,,,,,, 
5/23/2022 2:39:14.167 PM,,,1653287954167,47,"1,641","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,144,595","11,225,588" 
5/23/2022 2:35:00.000 PM,22,22.0,1653287700000,,,,,,, 
5/23/2022 2:34:14.080 PM,,,1653287654080,22,"1,648","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,657,649","8,148,460" 
5/23/2022 2:30:00.000 PM,39,39.0,1653287400000,,,,,,, 
5/23/2022 2:29:14.114 PM,,,1653287354114,39,"1,662","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"2,903,210","10,182,806" 
5/23/2022 2:25:00.000 PM,82,82.0,1653287100000,,,,,,, 
5/23/2022 2:24:14.074 PM,,,1653287054074,82,"1,677","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,114,116","12,303,496" 
5/23/2022 2:20:00.000 PM,25,25.0,1653286800000,,,,,,, 
5/23/2022 2:19:14.108 PM,,,1653286754108,25,"1,690","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,284,481","10,574,064" 
5/23/2022 2:15:00.000 PM,79,79.0,1653286500000,,,,,,, 
5/23/2022 2:14:14.069 PM,,,1653286454069,79,"1,696","com.wm.isextdc.IntegrationServer:host=hklpapfal04,port=5421","16,777,216",800,"3,034,470","12,201,802" 
